,bbrefID,Date,G,Age,Team,is_away,Opp,win_loss,goals,assists,pts,plus_minus,pim,g_ev,g_pp,g_sh,g_gw,a_ev,a_pp,a_sh,shots,shooting_pct,shifts,toi,hits,blocks,fow,fol,fo_pct
0,plekato01,2017-10-05,1,34-339,MTL,@,BUF,W,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,24,13:25,0,0,10,9,52.6
1,plekato01,2017-10-07,2,34-341,MTL,@,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,15:01,2,0,8,13,38.1
2,plekato01,2017-10-08,3,34-342,MTL,@,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,21,14:41,1,0,4,9,30.8
0,nielsfr01,2017-10-05,1,33-164,DET,,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,17:04,0,2,7,9,43.8
1,nielsfr01,2017-10-07,2,33-166,DET,@,OTT,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,24,14:36,1,0,8,5,61.5
0,shoreni01,2017-10-05,1,25-009,LAK,,PHI,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,22,12:20,0,0,11,6,64.7
1,shoreni01,2017-10-07,2,25-011,LAK,@,SJS,W,1,0,1,1,2,1,0,0,0,0,0,0,2,50.0,22,14:59,1,1,9,11,45.0
0,debruja01,2017-10-05,1,20-353,BOS,,NSH,W,1,1,2,2,0,1,0,0,0,1,0,0,4,25.0,18,14:05,0,0,1,0,100.0
0,maroopa01,2017-10-04,1,29-164,EDM,,CGY,W,0,1,1,2,0,0,0,0,0,1,0,0,3,0.0,24,18:54,1,0,0,0,
1,maroopa01,2017-10-07,2,29-167,EDM,@,VAN,L,0,1,1,-1,2,0,0,0,0,0,1,0,2,0.0,21,18:18,3,0,0,0,
0,bjorkan01,2017-10-05,1,21-061,BOS,,NSH,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,20,16:14,1,0,0,0,
0,boothda01,2017-10-05,1,32-315,DET,,MIN,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,11,6:23,3,0,0,0,
